schoolName,longitude,latitude
Embry-Riddle Aeronautical University-Daytona Beach,-81.0499134,29.1914551
Embry-Riddle Aeronautical University-Prescott,-112.4507711,34.6161042
Embry-Riddle Aeronautical University-Worldwide,-88.9708421,42.2686382
Emerson College,-71.0657944,42.3522392
Emmanuel College,-71.1022899,42.3410214
Emory University,-84.32399889999999,33.7925195
Emporia State University,-96.1792074,38.4163415
Endicott College,-70.8408093,42.5531918
Evangel University,-93.2623428,37.2209133
Everglades University,-80.106239,26.3917512
Fairfield University,-73.2573625,41.1587639
Fairleigh Dickinson University-College at Florham,-74.4321199,40.7761931
Fairleigh Dickinson University-Metropolitan Campus,-74.029816,40.8975036
Fairmont State University,-80.1630335,39.4857867
Farmingdale State College,-73.4267093,40.7529512
Fayetteville State University,-78.8924896,35.0742206
Felician College,-74.11211589999999,40.8304574
Ferris State University,-85.4841782,43.6834099
Ferrum College,-80.0206987,36.9264771
Fitchburg State University,-71.7889139,42.5900165
Flagler College-St Augustine,-81.3148867,29.8927054
Florida Agricultural and Mechanical University,-84.28772769999999,30.4263876
Florida Atlantic University,-80.10106329999999,26.3749876
Florida Gulf Coast University,-81.7733903,26.4643209
Florida Institute of Technology,-80.62302199999999,28.0646888
Florida International University,-80.3757191,25.7563028
Florida Memorial University,-80.2706879,25.917735
Florida Southern College,-81.94503979999999,28.0314378
Florida State University,-84.2984889,30.4418778
Fontbonne University,-90.315891,38.641545
Fordham University,-73.88569869999999,40.8620404
Fort Hays State University,-99.3444887,38.8714463
Fort Lewis College,-107.8710381,37.2737453
Fort Valley State University,-83.8962511,32.5360371
Framingham State University,-71.4370921,42.2979971
Francis Marion University,-79.6519849,34.1904251
Franciscan University of Steubenville,-80.6244016,40.3772094
Franklin and Marshall College,-76.3201101,40.0482454
Franklin Pierce University,-72.0560856,42.7793667
Freed-Hardeman University,-88.6361646,35.4384625
Fresno Pacific University,-119.7341819,36.7268898
Friends University,-97.36608679999999,37.6780284
Frostburg State University,-78.9341855,39.6501666
Furman University,-82.44007239999999,34.9260157
Gallaudet University,-76.99238749999999,38.908422
Gannon University,-80.0865882,42.1282445
Gardner-Webb University,-81.6706979,35.2475249
Geneva College,-80.3218472,40.7713156
George Fox University,-122.9667381,45.3033817
George Mason University,-77.3114889,38.8314936
George Washington University,-77.0485992,38.8997145
Georgetown College,-84.5543228,38.2070067
Georgetown University,-77.07225849999999,38.9076089
Georgia College and State University,-83.2318054,33.0798884
Georgia Institute of Technology-Main Campus,-84.39628499999999,33.7756178
Georgia Regents University,-81.9899367,33.4712295
Georgia Southern University,-81.78653469999999,32.42054890000001
Georgia Southwestern State University,-84.21750809999999,32.0560379
Georgia State University,-84.38528190000001,33.753068
Georgian Court University,-74.226609,40.0988128
Gettysburg College,-77.2356339,39.8356944
Glenville State College,-80.83322199999999,38.9348779
Gonzaga University,-117.4015208,47.66644729999999
Gordon College,-70.8209286,42.5893751
Goucher College,-76.59654499999999,39.408765
Grace College and Theological Seminary,-85.81587189999999,41.2259141
Graceland University-Lamoni,-93.92563799999999,40.616346
Grambling State University,-92.71929569999999,32.5212912
Grand Valley State University,-85.8889489,42.9639298
Grand View University,-93.600298,41.6207345
Greenville College,-89.40843339999999,38.894586
Grinnell College,-92.7201302,41.74905709999999
Guilford College,-79.88873989999999,36.0917988
Gustavus Adolphus College,-93.9687771,44.3221619
Gwynedd Mercy University,-75.23733399999999,40.196788
Hamilton College,-75.4057949,43.0524261
Hamline University,-93.1645547,44.9650603
Hampden-Sydney College,-78.46102979999999,37.2403758
Hampshire College,-72.5314323,42.3258413
Hampton University,-76.3343603,37.0228392
Hanover College,-85.4623681,38.7192502
Harding University,-91.7235465,35.245152
Hardin-Simmons University,-99.7343446,32.4777566
Hartwick College,-75.0718461,42.4586674
Harvard University,-71.11666009999999,42.3770029
Hastings College,-98.3732874,40.5904193
Haverford College,-75.305656,40.0093478
Hawaii Pacific University,-157.8607075,21.3102505
Henderson State University,-93.05912339999999,34.1308101
Hendrix College,-92.4420118,35.1000469
High Point University,-79.9956452,35.9722284
Hiram College,-81.1439525,41.3107322
Hobart William Smith Colleges,-76.9852164,42.8581166
Hodges University,-81.739147,26.2760546
Hofstra University,-73.5994041,40.716792
Holy Family University,-74.9873319,40.0609234
Hood College,-77.4202024,39.4213829
Hope College,-86.1023574,42.7871797
Houghton College,-78.1558062,42.42681839999999
Houston Baptist University,-95.51533219999999,29.6952888
Howard Payne University,-98.9874677,31.716184
Howard University,-77.0194377,38.9226843
Humboldt State University,-124.077821,40.8752748
Huntingdon College,-86.2862907,32.3506065
Huntington University,-85.49962909999999,40.8988364
Husson University,-68.7936927,44.8277943
Illinois Institute of Technology,-87.6270059,41.8348731
Illinois State University,-88.9946702,40.5122833
Illinois Wesleyan University,-88.9906541,40.4908892
Immaculata University,-75.5705399,40.0279142
Indiana Institute of Technology,-85.116851,41.077818
Indiana State University,-87.4082349,39.4711089
Indiana University of Pennsylvania-Main Campus,-79.16146690000001,40.6140124
Indiana University-Bloomington,-86.512627,39.1754487
Indiana University-East,-84.88088309999999,39.8683383
Indiana University-Kokomo,-86.13144360000001,40.4596897
Indiana University-Northwest,-87.3375312,41.5568315
Indiana University-Purdue University-Fort Wayne,-85.1077816,41.1173345
Indiana University-Purdue University-Indianapolis,-86.1763393,39.7738832
Indiana University-South Bend,-86.2197175,41.6621383
Indiana University-Southeast,-85.8196904,38.3448964
Indiana Wesleyan University,-85.6626617,40.5187313
Inter American University of Puerto Rico-Aguadilla,-67.1225592,18.4683473
Inter American University of Puerto Rico-Arecibo,-66.75943819999999,18.4757179
Inter American University of Puerto Rico-Barranquitas,-66.3030716,18.1826497
Inter American University of Puerto Rico-Bayamon,-66.18266249999999,18.3502697
Inter American University of Puerto Rico-Fajardo,-65.6491434,18.3276724
Inter American University of Puerto Rico-Guayama,-66.1081585,17.966286
Inter American University of Puerto Rico-Metro,-66.0779572,18.3691681
Inter American University of Puerto Rico-Ponce,-66.5782021,18.0089787
Inter American University of Puerto Rico-San German,-67.051542,18.0833637
Iona College,-73.78644349999999,40.9271278
Iowa State University,-93.6464654,42.0266187
Ithaca College,-76.498564,42.421658
Jackson State University,-90.2063965,32.2968847
Jacksonville State University,-85.7681082,33.8230593
Jacksonville University,-81.6066798,30.3530584
James Madison University,-78.8697548,38.435092
John Brown University,-94.5594091,36.190767
John Carroll University,-81.5293126,41.4905062
Johns Hopkins University,-76.6205177,39.3299013
Johnson & Wales University-North Miami,-80.1647017,25.8938366
Johnson & Wales University-Providence,-71.4130131,41.8198
Johnson C Smith University,-80.85621239999999,35.2427192
Johnson State College,-72.67166449999999,44.6409962
Judson University,-88.2901505,42.0598247
Juniata College,-78.0167998,40.499972
Kalamazoo College,-85.598145,42.290035
Kansas State University,-96.5847249,39.1974437
Kean University,-74.2342865,40.678071
Keene State College,-72.2803536,42.9254972
Kennesaw State University,-84.5815717,34.0380784
Kent State University at Kent,-81.34146489999999,41.1490629
Kentucky State University,-84.8558314,38.20025770000001
Kenyon College,-82.39830789999999,40.3718965
Kettering University,-83.7138531,43.0115468
Keuka College,-77.09054139999999,42.6151505
Keystone College,-75.7774203,41.5590236
King University,-82.1591181,36.5869627
King's College,-75.879933,41.2502545
Knox College,-90.3718673,40.9418892
Kutztown University of Pennsylvania,-75.7834225,40.5100878
La Roche College,-80.0143279,40.5683978
La Salle University,-75.15663219999999,40.0387561
La Sierra University,-117.499085,33.9112212
Lafayette College,-75.2087298,40.6986202
Lake Forest College,-87.8287038,42.25018480000001
Lake Superior State University,-84.36387739999999,46.491793
Lakeland College,-88.380659,39.4168843
Lamar University,-94.0752411,30.0401485
Lancaster Bible College,-76.288094,40.073488
Lander University,-82.165036,34.2002826
Lane College,-88.80611329999999,35.62777500000001
Lasell College,-71.2446266,42.3432053
Lawrence Technological University,-83.24979669999999,42.4755011
Lawrence University,-88.3989041,44.2611716
Le Moyne College,-76.0855042,43.0497018
Le Moyne-Owen College,-90.0344386,35.1180562
Lebanon Valley College,-76.51507959999999,40.3337415
Lee University,-84.8693485,35.1659845
Lehigh University,-75.37828320000001,40.6069087
Lenoir-Rhyne University,-81.3262158,35.7414291
Lesley University,-71.11748639999999,42.3810755
LeTourneau University,-94.7266322,32.4658392
Lewis & Clark College,-122.670312,45.44909490000001
Lewis University,-88.0804639,41.6048148
Lewis-Clark State College,-117.0263456,46.4114256
Liberty University,-79.1769529,37.3530446
Limestone College,-81.6498909,35.0556533
Lincoln Memorial University,-83.66076009999999,36.576972
Lincoln University of Pennsylvania,-75.9273377,39.807212
Lindenwood University,-90.5015042,38.7863879
Linfield College-McMinnville Campus,-123.199224,45.20060600000001
Lipscomb University,-86.79999,36.105632
LIU Brooklyn,-73.9805083,40.6908489
LIU Post,-73.5900738,40.8172349
